Chapter,Pattern,Page,Type,Kanji,Kana,Meaning
1,7,14,Pattern,私の父は医者だ/です。,わたしのちちはいしゃだ/です。,My father is a doctor.
1,7,14,Pattern,佐田さんのお父さんも医者だ/です。,さださんのおとうさんもいしゃだ/です。,Ms. Sada's father also is a doctor.
1,7,16,Example,私の兄は公務員です。課長のお兄さんも公務員です。,わたしのあにはこうむいんです。かちょうのおにいさんもこうむいんです。,My older brother is a civil servant. The section chief's older brother is also a civil servant.
1,7,16,Example,息子は大学生です。高木先生の息子さんも大学生です。,むすこはだいがくせいです。たかぎせんせいのむすこさんもだいがくせいです。,My son is a college student. Professor Takagi's son is also a college student.
1,7,16,Example,家内は秘書じゃない。ヒルさんの奥さんも秘書じゃない。,かないはひしょじゃない。ヒルさんのおくさんもひしょじゃない。,"My wife isn't a secretary. Mr. Hill's wife isn't, either."
1,7,16,Example,祖父は政治家ではない。友達のおじいさんも政治家ではない。,そふはせいじかではない。ともだちのおじいさんもせいじかではない。,"My grandfather isn't a politician. My friend's grandfather isn't, either."
1,7,17,Practice,母は歴史の先生だ/です。林さんのお母さんも歴史の先生だ/です。,はははれきしのせんせいだ/です。はやしさんのおかあさんもれきしのせんせいだ/です。,My mother is a history teacher. Miss Hayashi's mother is also a history teacher.
1,7,17,Practice,主人は車のセールスマンだ/です。岡さんのご主人も車のセールスマンだ/です。,しゅじんはくるまのセールスマンだ/です。おかさんのごしゅじんもくるまのセールスマンだ/です。,My husband is a car salesman. Ms. Oka's husband is also a car salesman.
1,7,17,Practice,娘は歯医者じゃない/じゃありません。矢野さんのお嬢さんも歯医者じゃない/じゃありません。,むすめははいしゃじゃない/じゃありません。やのさんのおじょうさんもはいしゃじゃない/じゃありません。,"My daughter isn't a dentist. Ms. Yano's daughter isn't, either."
1,8,17,Pattern,小川さんも槙さんも私の友達だ/です。,おがわさんもまきさんもわたしのともだちだ/です。,Mr. Ogawa and Mr. Maki are both my friends.
1,8,18,Example,この部屋もその部屋も会議室です。,このへやもそのへやもかいぎしつです。,This room and that room are both conference rooms.
1,8,18,Example,彼も彼女もハーバードの卒業生だ。,かれもかのじょもハーバードのそつぎょうせいだ。,Both he and she are graduates of Harvard.
1,8,18,Example,ジムもサムもフットボールの選手じゃない。,ジムもサムもフットボールのせんしゅじゃない。,Neither Jim nor Sam is a football player.
1,8,18,Example,妹はピアニストでも歌手でもありません。,いもうとはピアニストでもかしゅでもありません。,My younger sister is neither a pianist nor a singer.
1,8,19,Practice,兄も弟もパイロットだ/です。,あにもおとうともパイロットだ/です。,My older brother and younger brother are both pilots.
1,8,19,Practice,ロスさんもヒルさんも銀行員じゃない/じゃありません。,ロスさんもヒルさんもぎんこういんじゃない/じゃありません。,Neither Mr. Ross nor Mr. Hill are bank employees.
1,8,19,Practice,このビルはホテルでもアパートでもない/でもありません。,このビルはホテルでもアパートでもない/でもありません。,This building is neither a hotel nor an apartment.
1,8,19,Practice,この教科書もその参考書も私のじゃない/じゃありません。,このきょうかしょもそのさんこうしょもわたしのじゃない/じゃありません。,Neither this textbook nor that reference book is mine.
1,9,19,Pattern,ロスさんは英語の先生だった/でした。,ロスさんはえいごのせんせいだった/でした。,Ms. Ross was an English teacher.
1,9,19,Example,祖父は小学校の校長でした。,そふはしょうがっこうのこうちょうでした。,My grandfather was the principal of an elementary school.
1,9,19,Example,ブラウンさんはカリフォルニアの知事だった。,ブラウンさんはカリフォルニアのちじだった。,Mr. Brown was the governor of California.
1,9,20,Example,この店はカメラ屋だった。,このみせはカメラやだった。,This store was a camera shop.
1,9,20,Example,この部屋もその部屋も私達の教室でした。,このへやもそのへやもわたしたちのきょうしつでした。,This room and that room were both our classrooms.
1,9,20,Practice,アトキンズさんは日本文学の教授だった/でした。,アトキンズさんはにほんぶんがくのきょうじゅだった/でした。,Mr. Atkins was a professor of Japanese literature.
1,9,20,Practice,父も兄も科学者だった/でした。,ちちもあにもかがくしゃだった/でした。,Both my father and my older brother were scientists.
1,9,20,Practice,このレストランは金持ちの別荘だった/でした。,このレストランはかねもちのべっそうだった/でした。,This restaurant was a rich man's second home.
1,10,21,Pattern,ディナーはフランス料理ではなかった/ではありませんでした。,ディナーはフランスりょうりではなかった/ではありませんでした。,The dinner wasn't French cuisine.
1,10,21,Example,あの車は坂本さんのじゃありませんでした。,あのくるまはさかもとさんのじゃありませんでした。,That car wasn't Mr. Sakamoto's.
1,10,21,Example,あの男の人はアメリカ大使館のギブソンさんではありませんでした。,あのおとこのひとはアメリカたいしかんのギブソンさんではありませんでした。,That man wasn't Mr. Gibson of the American Embassy.
1,10,21,Example,彼女は作家でも詩人でもなかった。,かのじょはさっかでもしじんでもなかった。,She was neither a writer nor a poet.
1,10,22,Practice,あれは映画館ではなかった/ではありませんでした。,あれはえいがかんではなかった/ではありませんでした。,That was not a movie theater.
1,10,22,Practice,あの外国人は先生でも学生でもなかった/でもありませんでした。,あのがいこくじんはせんせいでもがくせいでもなかった/でもありませんでした。,That foreigner was neither a teacher nor a student.
1,10,22,Practice,プレゼントは時計じゃなかった/じゃありませんでした。,プレゼントはとけいじゃなかった/じゃありませんでした。,The present wasn't a watch.
1,11,22,Pattern,いいワインだ/ですね。,いいワインだ/ですね。,"It's good wine, isn't it?"
1,11,22,Pattern,きれいな絵だ/ですね。,きれいなえだ/ですね。,"It's a pretty picture, isn't it?"
1,11,23,Example,甘いオレンジですね。,あまいオレンジですね。,"They're sweet oranges, aren't they?"
1,11,23,Example,かわいい犬ですね。,かわいいいぬですね。,"It's a cute dog, isn't it?"
1,11,23,Example,静かな公園ですね。,しずかなこうえんですね。,"It's a quiet park, isn't it?"
1,11,23,Example,親切な人だね。,しんせつなひとだね。,"She's a kind person, isn't she?"
1,11,24,Practice,寒い日だ/ですね。,さむいひだ/ですね。,"It's a cold day, isn't it?"
1,11,24,Practice,おもしろい本だ/ですね。,おもしろいほんだ/ですね。,"It's an interesting book, isn't it?"
1,11,24,Practice,まじめな学生だ/ですね。,まじめながくせいだ/ですね。,"He's a serious student, isn't he?"
1,11,24,Practice,便利なかばんだ/ですね。,べんりなかばんだ/ですね。,"It's a convenient bag, isn't it?"
1,12,24,Pattern,この車は新しい/新しいです。,このくるまはあたらしい/あたらしいです。,This car is new.
1,12,24,Pattern,あの画家は有名だ/有名です。,あのがかはゆうめいだ/ゆうめいです。,That painter is famous.
1,12,25,Example,この仕事は難しい。,このしごとはむずかしい。,This work is difficult.
1,12,25,Example,私達の新しい事務所は広いです。,わたしたちのあたらしいじむしょはひろいです。,Our new office is large.
1,12,25,Example,あの山は危険だ。,あのやまはきけんだ。,That mountain is dangerous.
1,12,25,Example,父も母も元気です。,ちちもははもげんきです。,My father and mother are both healthy.
1,12,26,Practice,ジム（さん）もサラ（さん）も若い/若いです。,ジム（さん）もサラ（さん）もわかい/わかいです。,Jim and Sarah are both young.
1,12,26,Practice,このコーヒーは冷たい/冷たいですね。,このコーヒーはつめたい/つめたいですね。,"This coffee is cold, isn't it?"
1,12,26,Practice,この時計は正確だ/正確です。,このとけいはせいかくだ/せいかくです。,This watch is accurate.
1,13,26,Pattern,このパイはおいしくない/おいしくありません。,このパイはおいしくない/おいしくありません。,This pie is not delicious.
1,13,26,Pattern,その書類は必要ではない/必要ではありません。,そのしょるいはひつようではない/ひつようではありません。,Those papers are not necessary.
1,13,26,Example,ビル（さん）の成績はよくない（です）。,ビル（さん）のせいせきはよくない（です）。,Bill's grades are not good.
1,13,27,Example,地下鉄の駅は遠くありません。,ちかてつのえきはとおくありません。,The subway station isn't far.
1,13,27,Example,あの人たちは幸せではない。,あのひとたちはしあわせではない。,They are not happy.
1,13,27,Example,手続きは簡単ではありません。,てつづきはかんたんではありません。,The procedures are not simple.
1,13,27,Practice,あのレストランは安くない（です）ね。,あのレストランはやすくない（です）ね。,"That restaurant isn't cheap, is it?"
1,13,27,Practice,会社の会議室は明るくない/明るくありません。,かいしゃのかいぎしつはあかるくない/あかるくありません。,The company conference room isn't bright.
1,13,27,Practice,この仕事は複雑ではない/複雑ではありません。,このしごとはふくざつではない/ふくざつではありません。,This work is not complicated.
1,14,28,Pattern,ピクニックは楽しかった/楽しかったです。,ピクニックはたのしかった/たのしかったです。,The picnic was fun.
1,14,28,Pattern,宴会は豪華だった/豪華でした。,えんかいはごうかだった/ごうかでした。,The banquet was gorgeous.
1,14,28,Example,小包は重かったです。,こづつみはおもかったです。,The package was heavy.
1,14,28,Example,山道は狭かった。,やまみちはせまかった。,The mountain road was narrow.
1,14,28,Example,その町はにぎやかでした。,そのまちはにぎやかでした。,That city was lively.
1,14,28,Example,私の秘書は有能だった。,わたしのひしょはゆうのうだった。,My secretary was competent.
1,14,29,Practice,店員は丁寧だった/丁寧でした。,てんいんはていねいだった/ていねいでした。,The store clerk was polite.
1,14,29,Practice,祖父は頑固だった/頑固でした。,そふはがんこだった/がんこでした。,My grandfather was stubborn.
1,14,29,Practice,山は険しかった/険しかったです。,やまはけわしかった/けわしかったです。,The mountain was steep.
1,15,29,Pattern,講義は長くなかった/長くありませんでした。,こうぎはながくなかった/ながくありませんでした。,The lecture was not long.
1,15,29,Pattern,あの人は正直ではなかった/正直ではありませんでした。,あのひとはしょうじきではなかった/しょうじきではありませんでした。,He wasn't honest.
1,15,30,Example,地震は大きくなかった（です）。,じしんはおおきくなかった（です）。,The earthquake was not big.
1,15,30,Example,試験はやさしくありませんでした。,しけんはやさしくありませんでした。,The exam wasn't easy.
1,15,30,Example,彼女のドレスは派手じゃなかった。,かのじょのドレスははでじゃなかった。,Her dress wasn't showy.
1,15,30,Example,彼らの生活はぜいたくではありませんでした。,かれらのせいかつはぜいたくではありませんでした。,Their life was not luxurious.
1,15,31,Practice,試合はおもしろくなかった（です）。,しあいはおもしろくなかった（です）。,The game was not interesting.
1,15,31,Practice,その町の道はきれいではなかった/きれいではありませんでした。,そのまちのみちはきれいではなかった/きれいではありませんでした。,That city's streets were not clean.
1,15,31,Practice,このハンドバッグは高くなかった/高くありませんでした。,このハンドバッグはたかくなかった/たかくありませんでした。,This handbag wasn't expensive.
1,16,31,Pattern,これはアパートで、それはホテルだ/です。,これはアパートで、それはホテルだ/です。,This is an apartment and that is a hotel.
1,16,31,Example,このスカーフは絹で、そのスカーフはナイロンです。,このスカーフはきぬで、そのスカーフはナイロンです。,This scarf is silk and that one is nylon.
1,16,32,Example,彼はジャーナリストで、彼女は写真家だった。,かれはジャーナリストで、かのじょはしゃしんかだった。,He was a journalist and she was a photographer.
1,16,32,Example,これが僕のレポートで、それは林さんのだ。,これがぼくのレポートで、それははやしさんのだ。,This is my report and that is Ms. Hayashi's.
1,16,32,Practice,これはお寺で、それは神社だ/です。,これはおてらで、それはじんじゃだ/です。,This is a temple and that is a shrine.
1,16,32,Practice,佐々木さんは歯医者（さん）で、奥さんは受付だった/でした。,ささきさんははいしゃ（さん）で、おくさんはうけつけだった/でした。,Mr. Sasaki was a dentist and his wife was a receptionist.
1,16,32,Practice,この小さい車が私ので、その大きい車は課長のだ/です。,このちいさいくるまがわたしので、そのおおきいくるまはかちょうのだ/です。,This small car is mine and that big one is the section chief's.
1,17,33,Pattern,このコートは柔らかくて軽い/軽いです。,このコートはやわらかくてかるい/かるいです。,This coat is soft and light.
1,17,33,Pattern,店員は親切で丁寧だ/丁寧です。,てんいんはしんせつでていねいだ/ていねいです。,The clerk is kind and polite.
1,17,33,Example,新しい秘書は若くて優しいです。,あたらしいひしょはわかくてやさしいです。,The new secretary is young and kind.
1,17,33,Example,風が強くて、波は高かった。,かぜがつよくて、なみはたかかった。,The wind was strong and the waves were high.
1,17,33,Example,この建物はモダンで立派だ。,このたてものはモダンでりっぱだ。,This structure is modern and magnificent.
1,17,34,Example,彼の両親は裕福で、彼女の両親は貧乏でした。,かれのりょうしんはゆうふくで、かのじょのりょうしんはびんぼうでした。,His parents were rich and her parents were poor.
1,17,34,Practice,寮は古くて汚い/汚いです。,りょうはふるくてきたない/きたないです。,The dormitory is old and dirty.
1,17,34,Practice,この部屋は明るくて、その部屋は暗い/暗いです。,このへやはあかるくて、そのへやはくらい/くらいです。,This room is bright and that one is dark.
1,17,34,Practice,木田さんはまじめで慎重だった/慎重でした。,きださんはまじめでしんちょうだった/しんちょうでした。,Mr. Kida was serious and careful.
1,17,34,Practice,岸先生は厳格で、佐野先生は寛大だ/寛大です。,きしせんせいはげんかくで、さのせんせいはかんだいだ/かんだいです。,Professor Kishi is strict and Professor Sano is lenient.
1,18,35,Pattern,このステーキはおいしいし、安い/安いです。,このステーキはおいしいし、やすい/やすいです。,"This steak is delicious and, what's more, it's inexpensive."
1,18,35,Pattern,部屋は清潔だし、明るい/明るいです。,へやはせいけつだし、あかるい/あかるいです。,"The room is clean and, what's more, it's sunny."
1,18,35,Example,その映画は面白いし、教育的です。,そのえいがはおもしろいし、きょういくてきです。,"That movie is interesting and, what's more, it's educational."
1,18,35,Example,この器具は便利だし、軽い。,このきぐはべんりだし、かるい。,"This tool is convenient, and it's light."
1,18,35,Example,彼は有能だったし、賢明だった。,かれはゆうのうだったし、けんめいだった。,He was competent and he was also wise.
1,18,36,Practice,課長の話は長いし、つまらなかった/つまらなかったです。,かちょうのはなしはながいし、つまらなかった/つまらなかったです。,"The section chief's talk was long and, what's more, it was boring."
1,18,36,Practice,この果物は新鮮だし、安い/安いです。,このくだものはしんせんだし、やすい/やすいです。,"These fruits are fresh, and they're inexpensive."
1,18,36,Practice,病院の看護師さんは若かったし、親切だった/親切でした。,びょういんのかんごしさんはわかかったし、しんせつだった/しんせつでした。,"The nurses at the hospital were young, and also kind."
1,19,36,Pattern,うさぎは目が赤い/赤いです。,うさぎはめがあかい/あかいです。,Rabbits have red eyes.
1,19,37,Example,この車はエンジンがいい。,このくるまはエンジンがいい。,This car has a good engine.
1,19,37,Example,私は頭が痛いです。,わたしはあたまがいたいです。,I have a headache.
1,19,37,Example,その半島は気候が温暖です。,そのはんとうはきこうがおんだんです。,That peninsula has a mild climate.
1,19,37,Example,彼の小説は筋が複雑だ。,かれのしょうせつはすじがふくざつだ。,His novels have complicated plots.
1,19,38,Practice,この会社の製品は質がいい/いいです。,このかいしゃのせいひんはしつがいい/いいです。,This company's products are of good quality.
1,19,38,Practice,彼女の家は台所が広い/広いです。,かのじょのいえはだいどころがひろい/ひろいです。,Her house has a large kitchen.
1,19,38,Practice,その絵は色が鮮やかだ/鮮やかですね。,そのえはいろがあざやかだ/あざやかですね。,"That picture has bright colors, doesn't it?"
1,20,38,Pattern,試験は難しかったり、やさしかったりする/します。,しけんはむずかしかったり、やさしかったりする/します。,Exams are sometimes difficult and sometimes easy.
1,20,38,Pattern,この通りは静かだったり、にぎやかだったりする/します。,このとおりはしずかだったり、にぎやかだったりする/します。,This street is sometimes quiet and sometimes lively.
1,20,39,Example,このレストランのステーキは軟らかかったり、硬かったりする。,このレストランのステーキはやわらかかったり、かたかったりする。,Steaks at this restaurant are sometimes tender and sometimes tough.
1,20,39,Example,彼の態度は慎重だったり、大胆だったりします。,かれのたいどはしんちょうだったり、だいたんだったりします。,His attitude is sometimes careful and sometimes bold.
1,20,39,Practice,父は忙しかったり、ひまだったりする/します。,ちちはいそがしかったり、ひまだったりする/します。,My father is sometimes busy and sometimes not busy.
1,20,39,Practice,問題は簡単だったり、複雑だったりする/します。,もんだいはかんたんだったり、ふくざつだったりする/します。,The problems are sometimes simple and sometimes complicated.
2,21,40,Pattern,テレビがある/あります。,テレビがある/あります。,There is a TV set.
2,21,40,Pattern,男の子がいる/います。,おとこのこがいる/います。,There are boys.
2,21,40,Example,交番があります。,こうばんがあります。,There is a police box.
2,21,40,Example,警官がいます。,けいかんがいます。,There is a policeman.
2,21,41,Example,白い鳥がいる。青い鳥もいる。,しろいとりがいる。あおいとりもいる。,There are white birds. There are also blue birds.
2,21,41,Practice,古い新聞がある/あります。古い雑誌もある/あります。,ふるいしんぶんがある/あります。ふるいざっしもある/あります。,There are old newspapers. There are also old magazines.
2,21,41,Practice,大きい犬がいる/います。小さい犬もいる/います。,おおきいいぬがいる/います。ちいさいいぬもいる/います。,There is a big dog. There is also a small dog.
2,21,41,Practice,映画館がある/あります。劇場もある/あります。,えいがかんがある/あります。げきじょうもある/あります。,There is a movie house. There is also a theater.
2,22,42,Pattern,食べ物が/はない/ありません。,たべものが/はない/ありません。,There isn't any food.
2,22,42,Pattern,通訳が/はいない/いません。,つうやくが/はいない/いません。,There is no interpreter.
2,22,42,Example,おもしろいニュースがありません。,おもしろいニュースがありません。,There isn't any interesting news.
2,22,43,Example,観光客はいません。,かんこうきゃくはいません。,There aren't any tourists.
2,22,43,Example,馬がいない。羊もいない。,うまがいない。ひつじもいない。,"There are no horses. There are no sheep, either."
2,22,43,Practice,牛乳が/はない/ありません。,ぎゅうにゅうが/はない/ありません。,There isn't any milk.
2,22,43,Practice,大人が/はいない/いません。子供もいない/いません。,おとなが/はいない/いません。こどももいない/いません。,"There aren't any adults. There aren't any children, either."
2,22,43,Practice,犬が/はいない/いません。猫もいない/いません。,いぬが/はいない/いません。ねこもいない/いません。,"There is no dog. There is no cat, either."
2,23,44,Pattern,地震があった/ありました。,じしんがあった/ありました。,There was an earthquake.
2,23,44,Pattern,黒い熊がいた/いました。,くろいくまがいた/いました。,There was a black bear.
2,23,44,Example,ゆうべ交通事故がありました。,ゆうべこうつうじこがありました。,There was a traffic accident last night.
2,23,44,Example,買い物客がいました。,かいものきゃくがいました。,There were shoppers.
2,23,44,Example,象がいた。きりんもいた。,ぞうがいた。きりんもいた。,There were elephants. There were also giraffes.
2,23,45,Practice,先週洪水があった/ありました。,せんしゅうこうずいがあった/ありました。,There was a flood last week.
2,23,45,Practice,馬がいた/いました。猿もいた/いました。,うまがいた/いました。さるもいた/いました。,There were horses. There were also monkeys.
2,23,45,Practice,有名人がいた/いました。,ゆうめいじんがいた/いました。,There were celebrities.
2,24,45,Pattern,近道が/はなかった/ありませんでした。,ちかみちが/はなかった/ありませんでした。,There was no shortcut.
2,24,45,Pattern,乗客が/はいなかった/いませんでした。,じょうきゃくが/はいなかった/いませんでした。,There were no passengers.
2,24,45,Example,冷たい飲み物が/はありませんでした。,つめたいのみものが/はありませんでした。,There weren't any cold drinks.
2,24,46,Example,若いウエイトリスが/はいなかった。,わかいウエイトリスが/はいなかった。,There were no young waitresses.
2,24,46,Example,バスが/はなかった。タクシーもなかった。,バスが/はなかった。タクシーもなかった。,"There were no buses. There were no taxis, either."
2,24,46,Practice,通行人が/はいなかった/いませんでした。,つうこうにんが/はいなかった/いませんでした。,There were no passersby.
2,24,46,Practice,危険な動物が/はいなかった/いませんでした。,きけんなどうぶつが/はいなかった/いませんでした。,There were no dangerous animals.
2,24,46,Practice,レストランが/はなかった/ありませんでした。ギフトショップもなかった/ありませんでした。,レストランが/はなかった/ありませんでした。ギフトショップもなかった/ありませんでした。,"There was no restaurant. There was no gift shop, either."
2,25,47,Pattern,切手と封筒がある/あります。,きってとふうとうがある/あります。,There are stamps and envelopes.
2,25,47,Pattern,カメラマンやレポーターがいる/います。,カメラマンやレポーターがいる/います。,There are cameramen and reporters (and others).
2,25,47,Example,赤いセーターと茶色のハンドバッグがあります。,あかいセーターとちゃいろのハンドバッグがあります。,There is a red sweater and a brown handbag.
2,25,47,Example,桜の木や松の木があった。,さくらのきやまつのきがあった。,There were cherry trees and pine trees and others.
2,25,47,Example,１年生と２年生がいます。,いちねんせいとにねんせいがいます。,There are first and second-year students.
2,25,47,Example,セールスマンやバイヤーがいた。,セールスマンやバイヤーがいた。,There were salesman and buyers and others.
2,25,48,Practice,指輪やネックレスがある/あります。,ゆびわやネックレスがある/あります。,There are rings and necklaces and whatnot.
2,25,48,Practice,おいしいパイとケーキがあった/ありました。,おいしいパイとケーキがあった/ありました。,There were delicious pies and cakes.
2,25,48,Practice,老人や若い人がいた/いました。,ろうじんやわかいひとがいた/いました。,There were old people and young people and others.
2,26,48,Pattern,りんごがたくさんある/あります。,りんごがたくさんある/あります。,There are lots of apples.
2,26,48,Pattern,俳優が５人いる/います。,はいゆうがごにんいる/います。,There are five actors.
2,26,49,Example,ビールの瓶が２本あります。,ビールのびんがにほんあります。,There are two beer bottles.
2,26,49,Example,見物人が大勢いました。,けんぶつにんがおおぜいいました。,There were many sightseers.
2,26,49,Example,子供が４人と犬が３匹いる。,こどもがよにんといぬがさんびきいる。,There are four children and three dogs.
2,26,49,Example,毛布が６枚ありました。,もうふがろくまいありました。,There were six blankets.
2,26,50,Practice,水が少しある/あります。,みずがすこしある/あります。,There is a little water.
2,26,50,Practice,旅館が５軒あった/ありました。,りょかんがごけんあった/ありました。,There were five inns.
2,26,50,Practice,先生が二人と子供が大勢いる/います。,せんせいがふたりとこどもがおおぜいいる/います。,There are two teachers and many children.
2,27,50,Pattern,この部屋に本箱がある/あります。,このへやにほんばこがある/あります。,There is a bookcase in this room.
2,27,50,Pattern,木の下に男の子がいる/います。,きのしたにおとこのこがいる/います。,There are boys under the tree.
